particle_size,std_after_125_4_1_00,std_after_125_4_1_01,std_after_125_4_1_02,std_after_125_4_2_00,std_after_125_4_2_01,std_after_125_4_2_02,std_before_125_4_1_00,std_before_125_4_1_01,std_before_125_4_1_02,std_before_125_4_2_00,std_before_125_4_2_01,std_before_125_4_2_02
293.5,0,0,0,0,0,0,6316,0,0,19,8,0
294.5,0,0,0,0,0,0,9112,0,0,33,5,0
295.5,0,0,0,0,0,0,12738,0,0,57,3,0
296.5,0,0,0,0,0,0,17268,0,0,99,1,0
297.5,0,0,0,0,0,0,22726,0,0,171,0,0
298.5,0,0,0,0,0,0,29067,0,0,293,0,0
299.5,0,0,0,0,0,0,36168,0,0,497,0,1
300.5,0,0,0,0,0,0,43834,0,0,833,0,3
301.5,0,0,0,0,0,0,51804,0,0,1379,0,5
302.5,0,0,0,0,0,0,59773,0,0,2247,0,8
303.5,0,0,0,0,0,0,67418,0,0,3598,0,14
304.5,0,0,0,0,0,0,74424,0,0,5656,0,23
305.5,0,0,0,0,0,0,80516,0,0,8708,0,38
306.5,0,0,0,0,0,0,85476,0,0,13116,0,61
307.5,0,0,0,0,0,0,89157,0,0,19297,0,96
308.5,0,0,0,0,0,0,91496,0,0,27695,0,149
309.5,0,0,0,0,0,0,92500,0,0,38728,0,227
310.5,0,0,0,0,0,0,92247,0,0,52706,0,339
311.5,0,0,0,0,0,0,90865,0,0,69738,0,496
312.5,0,0,0,0,0,0,88519,0,0,89624,0,711
313.5,0,0,0,0,0,0,85394,0,0,111778,0,1002
314.5,0,0,0,0,0,0,81680,0,0,135183,0,1384
315.5,0,0,0,0,0,0,77560,0,0,158420,0,1875
316.5,0,0,0,0,0,0,73200,0,0,179781,0,2492
317.5,0,0,0,0,0,0,68744,0,0,197459,0,3250
318.5,0,0,0,0,0,0,64314,0,0,209791,0,4158
319.5,0,0,0,0,0,0,60006,0,0,215517,0,5218
320.5,0,0,0,0,0,0,55891,0,0,213987,0,6426
321.5,0,0,0,0,0,0,52020,0,0,205288,0,7764
322.5,0,0,0,0,0,0,48427,0,0,190231,0,9204
323.5,0,0,0,0,0,0,45131,0,0,170231,0,10708
324.5,0,0,0,0,0,0,42137,0,0,147079,0,12225
325.5,0,0,0,0,0,0,39445,0,0,122673,0,13698
326.5,0,0,0,0,0,0,37046,0,0,98760,0,15063
327.5,0,0,0,0,0,0,34929,0,0,76739,0,16258
328.5,0,0,0,0,0,0,33079,0,0,57547,0,17225
329.5,0,0,0,0,0,0,31480,0,0,41648,0,17914
330.5,0,0,0,0,0,0,30118,0,0,29089,0,18291
331.5,0,0,0,0,0,0,28976,0,0,19609,0,18335
332.5,0,0,0,0,0,0,28043,0,0,12758,0,18046
333.5,0,0,0,0,0,0,27304,0,0,8012,0,17440
334.5,0,0,0,0,0,0,26750,0,0,4857,0,16551
335.5,0,0,0,0,0,0,26371,0,0,2843,0,15425
336.5,0,0,0,0,0,0,26160,0,0,1606,0,14119
337.5,0,0,0,0,0,0,26111,0,0,877,0,12694
338.5,0,0,0,0,0,0,26221,0,0,462,0,11210
339.5,0,0,0,0,0,0,26486,0,0,235,0,9725
340.5,0,0,0,0,0,0,26905,2,0,116,0,8289
341.5,0,0,0,0,0,0,27478,7,0,55,0,6941
342.5,0,0,0,0,0,0,28206,19,0,25,0,5711
343.5,0,0,0,0,0,0,29089,53,0,11,0,4617
344.5,0,0,0,0,0,0,30130,137,0,5,0,3669
345.5,0,0,0,0,0,0,31329,334,0,2,0,2865
346.5,0,0,0,0,0,0,32689,760,0,0,0,2199
347.5,0,0,0,0,0,0,34210,1628,0,0,0,1659
348.5,0,0,0,0,0,0,35891,3274,0,0,0,1230
349.5,0,0,0,0,0,0,37730,6183,0,0,0,897
350.5,0,0,0,0,0,0,39724,10970,0,0,0,643
351.5,0,0,0,0,0,0,41864,18284,0,0,0,453
352.5,0,0,0,0,0,0,44142,28630,0,0,0,314
353.5,0,0,0,0,0,0,46542,42125,0,0,0,214
354.5,0,0,0,0,0,0,49048,58248,0,0,0,144
355.5,0,0,0,0,0,0,51636,75708,0,0,0,95
356.5,0,0,0,0,0,0,54281,92511,0,0,0,61
357.5,0,0,0,0,0,0,56951,106300,0,0,0,39
358.5,0,0,0,0,0,0,59610,114887,0,0,0,25
359.5,0,0,0,0,0,0,62219,116818,0,0,0,15
360.5,0,0,0,0,0,0,64736,111782,0,0,0,9
361.5,0,0,0,0,0,0,67114,100688,0,0,0,6
362.5,0,0,0,0,0,0,69308,85402,0,0,0,3
363.5,0,0,0,0,0,0,71273,68230,0,0,0,2
364.5,0,0,0,0,0,0,72965,51362,0,0,0,1
365.5,0,0,0,0,0,0,74342,36444,0,0,0,0
366.5,0,0,0,0,0,0,75370,24383,0,0,0,0
367.5,0,0,0,0,0,0,76019,15388,0,0,0,0
368.5,0,0,0,0,0,0,76268,9164,0,0,0,0
369.5,0,0,0,0,0,0,76104,5152,0,0,0,0
370.5,0,0,0,0,0,0,75523,2736,0,0,0,0
371.5,0,0,0,0,0,0,74531,1372,0,0,0,0
372.5,0,0,0,0,0,0,73144,651,0,0,0,0
373.5,0,0,0,0,0,0,71386,292,0,0,0,0
374.5,0,0,0,0,0,0,69288,124,0,0,0,0
375.5,0,0,0,0,0,0,66889,50,0,0,0,0
376.5,0,0,0,0,0,0,64233,19,0,0,0,0
377.5,0,0,0,0,0,0,61366,7,0,0,0,0
378.5,0,0,0,0,0,0,58338,2,0,0,0,0
379.5,0,0,0,0,0,0,55196,0,0,0,0,0
380.5,0,0,0,0,0,0,51988,0,0,0,0,0
381.5,0,0,0,0,0,0,48759,0,0,0,0,0
382.5,0,0,0,0,0,0,45551,0,0,0,0,0
383.5,0,0,0,0,0,0,42398,0,0,0,0,0
384.5,0,0,0,0,0,0,39333,0,2,0,0,0
385.5,0,0,0,0,0,0,36382,0,4,0,0,0
386.5,0,0,0,0,0,0,33565,0,8,0,0,0
387.5,0,0,0,0,0,0,30898,0,15,0,0,0
388.5,0,0,0,0,0,0,28392,0,30,0,0,0
389.5,0,0,0,0,0,0,26053,0,57,0,0,0
390.5,0,0,0,0,0,0,23883,0,107,0,0,0
391.5,0,0,0,0,0,0,21882,0,195,0,0,0
392.5,0,0,0,0,0,0,20046,0,347,0,0,0
393.5,0,0,0,0,0,0,18371,0,604,0,0,0
394.5,0,0,0,0,0,0,16848,0,1025,0,0,0
395.5,0,0,0,0,0,0,15469,0,1698,0,0,0
396.5,0,0,0,0,0,0,14227,0,2741,0,0,0
397.5,0,0,0,0,0,0,13111,0,4315,0,0,0
398.5,0,0,0,0,0,0,12112,0,6617,0,0,0
