particle_size,6_500_1_00,6_500_1_01,6_500_1_02,6_500_2_00,6_500_2_01,6_500_2_02,17_500_1_00,17_500_1_01,17_500_1_02,17_500_2_00,17_500_2_01,17_500_2_02,19_500_1_00,19_500_1_01,19_500_1_02,19_500_2_00,19_500_2_01,19_500_2_02,28_500_1_00,28_500_1_01,28_500_1_02,28_500_2_00,28_500_2_01,28_500_2_02,34_500_1_00,34_500_1_01,34_500_1_02,34_500_2_00,34_500_2_01,34_500_2_02
296.5,7507,30534,2046,162002,23226,0,0,14211,41855,5313,65022,156,1978,325591,278897,54883,106803,2728,3540,327343,83057,28506,412,22313,2161,3595,37071,305608,81239,27063
297.5,7431,27544,1325,143780,23608,0,0,14040,43261,4908,60993,171,1956,326798,269323,55806,103835,1943,3223,349734,71345,25538,329,18229,1866,2985,36392,298822,92681,24227
298.5,7376,24768,846,124496,24021,0,0,13905,44526,4550,56213,189,1955,326842,258874,56807,100917,1369,2949,368713,60793,22666,261,14731,1618,2487,35713,290953,105344,21688
299.5,7343,22206,534,105112,24463,0,0,13802,45637,4234,50953,211,1975,325728,247666,57884,98066,953,2713,383427,51399,19926,207,11777,1410,2081,35038,282090,119249,19418
300.5,7330,19854,332,86494,24934,0,0,13727,46583,3955,45473,238,2017,323475,235822,59032,95293,656,2509,393162,43128,17346,164,9320,1236,1749,34369,272333,134393,17389
301.5,7338,17704,205,69339,25432,0,0,13679,47356,3708,39999,270,2083,320118,223469,60249,92609,447,2334,397393,35924,14951,130,7303,1089,1478,33709,261786,150736,15578
302.5,7364,15750,125,54135,25958,0,0,13654,47950,3490,34717,309,2173,315709,210735,61529,90025,301,2185,395836,29714,12759,103,5668,966,1256,33061,250557,168203,13961
303.5,7410,13981,76,41148,26510,0,0,13649,48362,3298,29765,355,2291,310312,197751,62869,87546,201,2058,388471,24412,10779,81,4360,863,1074,32428,238760,186673,12518
304.5,7475,12386,45,30443,27087,0,0,13663,48591,3128,25236,411,2440,304003,184643,64263,85179,132,1951,375555,19927,9016,64,3326,776,925,31813,226507,205981,11231
305.5,7559,10954,27,21919,27688,0,0,13691,48638,2978,21183,479,2625,296866,171535,65705,82929,86,1861,357604,16167,7466,51,2516,703,803,31216,213911,225912,10082
306.5,7662,9673,16,15356,28312,0,0,13733,48509,2846,17623,559,2852,288996,158542,67190,80799,56,1788,335352,13041,6123,40,1890,642,702,30641,201083,246203,9058
307.5,7783,8532,10,10468,28958,0,0,13784,48209,2730,14547,656,3128,280489,145774,68710,78789,36,1729,309707,10463,4973,32,1409,592,619,30088,188132,266544,8143
308.5,7923,7518,6,6942,29624,0,0,13843,47747,2628,11927,771,3461,271447,133329,70259,76903,23,1684,281673,8352,4002,25,1045,550,551,29561,175162,286582,7327
309.5,8081,6621,3,4480,30308,0,0,13907,47132,2538,9725,908,3863,261969,121297,71828,75139,14,1651,252291,6636,3191,20,770,515,494,29059,162275,305932,6598
310.5,8258,5829,2,2812,31009,0,0,13974,46377,2459,7893,1071,4348,252157,109755,73410,73497,9,1631,222562,5251,2523,16,564,487,448,28584,149564,324184,5947
311.5,8455,5131,1,1718,31725,0,0,14039,45494,2389,6383,1264,4931,242107,98768,74996,71975,6,1623,193395,4139,1979,12,412,465,410,28138,137119,340916,5364
312.5,8670,4518,0,1022,32454,0,0,14102,44495,2329,5150,1492,5633,231910,88387,76576,70571,3,1626,165561,3251,1540,10,300,448,379,27721,125020,355710,4843
313.5,8904,3981,0,591,33195,0,0,14160,43396,2276,4148,1759,6478,221654,78652,78143,69282,2,1642,139660,2547,1190,8,217,436,354,27335,113341,368170,4377
314.5,9158,3511,0,333,33945,0,0,14209,42209,2229,3340,2072,7496,211417,69590,79685,68106,1,1669,116118,1990,914,6,157,428,335,26979,102147,377934,3959
315.5,9430,3101,0,183,34701,0,0,14249,40950,2188,2690,2435,8722,201271,61218,81194,67039,0,1709,95184,1552,698,5,114,424,319,26655,91495,384696,3584
316.5,9723,2743,0,98,35463,0,0,14275,39632,2153,2170,2855,10199,191280,53538,82659,66077,0,1762,76950,1209,530,4,82,424,308,26363,81433,388217,3248
317.5,10034,2432,0,51,36226,0,0,14286,38268,2121,1754,3336,11978,181500,46545,84072,65216,0,1830,61376,941,401,3,59,428,301,26103,71997,388342,2946
318.5,10365,2162,0,26,36989,0,0,14280,36871,2093,1422,3885,14119,171978,40224,85422,64452,0,1914,48318,732,303,3,43,436,297,25876,63216,385006,2675
319.5,10715,1927,0,13,37749,0,0,14255,35452,2067,1157,4503,16693,162753,34551,86700,63780,0,2015,37561,570,228,2,31,449,297,25683,55108,378240,2430
320.5,11085,1723,0,6,38503,0,0,14209,34023,2044,946,5196,19783,153858,29497,87898,63196,0,2135,28848,444,171,2,23,465,299,25523,47682,368175,2210
321.5,11473,1546,0,3,39249,0,0,14141,32594,2022,777,5963,23484,145317,25027,89006,62694,0,2278,21901,347,129,1,17,487,306,25397,40935,355035,2011
322.5,11881,1393,0,1,39984,0,0,14049,31174,2001,642,6804,27904,137147,21103,90019,62270,0,2445,16445,271,97,1,12,514,315,25306,34860,339129,1832
323.5,12306,1260,0,0,40704,0,0,13933,29770,1981,534,7715,33166,129362,17683,90928,61919,0,2640,12220,213,73,0,9,546,329,25249,29436,320837,1670
